scenario,inflow_pc,outflow_pc,Q_true,Q_method,PE,t_peak_true,t_peak_method,peak_time_error_min,w_in,w_out,relative_inflow_eps,multiplicative_strength
single_departure_flight,PPC,PPC,20.0,19.999999998576296,7.118519107507382e-09,2026-02-02 09:08:00,2026-02-02 09:08:00,0.0,1.0,100.0,0.01,2.0
single_departure_flight,RPC50L,PPC,20.0,25.024007614229944,-25.12003807114972,2026-02-02 09:08:00,2026-02-02 09:08:00,0.0,1.0,100.0,0.01,2.0
