scenario,inflow_pc,outflow_pc,Q_true,Q_method,PE,t_peak_true,t_peak_method,peak_time_error_min,w_in,w_out,relative_inflow_eps,multiplicative_strength
multiple_overlapping_arrivals,PPC,PPC,132.0,132.00060074782755,-0.0004551119905665308,2026-02-03 09:20:00,2026-02-03 09:21:00,1.0,1.0,100.0,0.01,2.0
multiple_overlapping_arrivals,RPC50L,PPC,132.0,131.71041071634835,0.2193858209482204,2026-02-03 09:20:00,2026-02-03 09:20:00,0.0,1.0,100.0,0.01,2.0
